CookerStat, GenerateAssetRegistry=0.037134, Initialize=0.142220, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionIdF13E2A0A46487BD76A216FA90F65BFE3_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_4A__D447B8B52AAF096AC3CD75B55C43A3CEF9B8EF62, StartTime=2016.05.10-23.31.51, HierarchicalDDC=, DataSize=7319, Duration=4.232686, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId82C13E2F486105611AE1E58748560A60_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_4C2F09C641D30B6D5__E49BF1060E7C8E453B11040BC46E7B6A3E60E531, StartTime=2016.05.10-23.31.51, HierarchicalDDC=, DataSize=1019, Duration=3.966019, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId38F0ECDC4E87DC9CB6E038BFEE48014D_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0608_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCCCC3E000000000800000004000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.10-23.31.52, Duration=2590.405518, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId2C205C094A266793A10DF4A78EF2619B_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__F807979E713A1E55225323B227648858A49E06D7, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=2097417, Duration=9.674657, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId82C13E2F486105611AE1E58748560A60_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__F06447CD485B12810B03CFA7BE0D89C18E2A17D9, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=524553, Duration=6.610956, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionIdF13E2A0A46487BD76A216FA90F65BFE3_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__3DCA434097B385083FCF170D6B03CE6C03FB75C3, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=131335, Duration=6.111596, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionIdF13E2A0A46487BD76A216FA90F65BFE3_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__8E7473B0786C89FD5B9B77421D98A8EC9FB70C08, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=33031, Duration=4.443254, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId82C13E2F486105611AE1E58748560A60_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__826C088C32057AD81D80BE302C806F68C1B5C330, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=8455, Duration=4.530165, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId2C205C094A266793A10DF4A78EF2619B_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6D8896494A90B59B16A882BB557D0__3771CB1B45FD8A18DEA909206C3BC6E8DD94A6EE, StartTime=2016.05.10-23.31.54, HierarchicalDDC=, DataSize=4749, Duration=4.803158, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId38F0ECDC4E87DC9CB6E038BFEE48014D_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_573AC0C949BCA37CB829BF85B4167D30_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.10-23.31.54, Duration=430.666931, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionIdF13E2A0A46487BD76A216FA90F65BFE3_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_573AC0C949BCA37CB829BF85B4167D30___14EB43CE7A1568022BA9415FA0D04A0D17BB4773, StartTime=2016.05.10-23.31.55, HierarchicalDDC=, DataSize=4194565, Duration=13.182011, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId82C13E2F486105611AE1E58748560A60_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_573AC0C949BCA37CB829BF85B4167D30___007C1D60267BEF8A38913236E73657456048874E, StartTime=2016.05.10-23.31.55, HierarchicalDDC=, DataSize=1048837, Duration=7.024191, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId2C205C094A266793A10DF4A78EF2619B_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_573AC0C949BCA37CB829BF85B4167D30___6B7978318F327D64CAF1D2191E1A2E5CB8E6174F, StartTime=2016.05.10-23.31.55, HierarchicalDDC=, DataSize=262403, Duration=27.851425, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
DDCTransactionId82C13E2F486105611AE1E58748560A60_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_573AC0C949BCA37CB829BF85B4167D30___134FD643069090AE0DBA4ECB49830D6E63F4BCD1, StartTime=2016.05.10-23.31.55, HierarchicalDDC=, DataSize=65795, Duration=300.965973, RunGuid=RunID7EA1E45C4D72A30513CD3F8068BBCF2C
